Feature,Importance
AE_RMS_wp_aaa_std,1.0413291208440879e-05
AE_RMS_abs_mean,1.0153584831291784e-05
Force_X_wp_dda_energy,1.0045662462205407e-05
Vibration_Y_wp_daa_energy,9.841473674982033e-06
Force_Y_freq_std,9.822500537132313e-06
Vibration_X_min,9.713577087811802e-06
Force_X_wp_aaa_mean,9.655958777840944e-06
AE_RMS_freq_band_3_ratio,9.149824445828637e-06
Vibration_Z_wp_ada_mean,8.85436360739903e-06
Vibration_X_max,8.802658913158895e-06
Vibration_X_wp_daa_mean,8.56383283730789e-06
AE_RMS_peak,8.476340008995004e-06
Vibration_Z_peak,8.44971115309037e-06
Force_Y_freq_skewness,8.064994702362556e-06
Force_X_freq_band_3_ratio,8.042733314053602e-06
Vibration_X_wavelet_min,7.457476790921703e-06
Vibration_X_peak2peak,7.448808576795971e-06
Vibration_Y_min,7.201126958258713e-06
Vibration_Y_freq_centroid,6.827742305194609e-06
Force_Z_wavelet_scale_4_ratio,6.719598033731735e-06
Force_Z_freq_band_3_ratio,6.423826273792414e-06
Vibration_Z_wp_dda_std,6.000872826602632e-06
Vibration_X_impulse_factor,5.989500874533829e-06
AE_RMS_energy,5.837882821038932e-06
Vibration_Y_peak,5.652001036117452e-06
Vibration_Z_wp_dda_mean,5.44613708297409e-06
Vibration_Z_min,5.323625464833355e-06
Vibration_Y_mean,5.178195812073734e-06
AE_RMS_wp_daa_mean,5.122879831804012e-06
Vibration_Z_freq_band_3_ratio,5.026369006891594e-06
AE_RMS_wp_add_mean,4.946691172710651e-06
Force_Y_freq_band_3_ratio,4.91412964977241e-06
Force_X_wp_ddd_mean,4.602635883099454e-06
AE_RMS_max,4.5027725455669905e-06
Vibration_Z_impulse_factor,4.278436903629924e-06
Vibration_Y_impulse_factor,4.129646396226424e-06
Force_Z_wp_aaa_energy,4.05137751403921e-06
AE_RMS_freq_band_5_ratio,3.90807835635601e-06
Force_Y_freq_band_5_ratio,3.861601807151536e-06
Force_Z_wp_dda_entropy,3.712520473017429e-06
Vibration_Y_wp_dad_mean,3.6141671515854505e-06
Force_Y_freq_centroid,3.444701370998951e-06
AE_RMS_wp_aaa_entropy,3.3743492628919687e-06
Force_Z_wp_ddd_std,3.2911745455150107e-06
Force_X_energy,3.25270083019858e-06
Vibration_X_wp_dda_entropy,3.245912104731358e-06
Vibration_Y_wp_dda_energy,3.1931320567223893e-06
Vibration_Z_wp_aaa_mean,3.1860029008782643e-06
AE_RMS_wp_ddd_mean,3.174501104431932e-06
Vibration_Y_crest,3.171331045015213e-06
